TimeNow;TimecodeSession;TimecodeTotal;TimecodeRecLength;TimecodeSequence;StartTimeTicks;MarkerColor;REF_MarkerName
5/12/2017 10:23:05 AM;00:07:26.0190000;00:07:26.0355577;00:07:26.0355580;00:07:26.0355583;4460381777;240,240,240;undefined marker
5/12/2017 10:23:05 AM;00:07:26.1520000;00:07:26.1691117;00:07:26.1691117;00:07:26.1691120;4461715109;203,203,203;infod14
5/12/2017 10:23:17 AM;00:07:38.4010000;00:07:38.4187339;00:07:38.4187339;00:07:38.4187346;4584048320;240,240,240;undefined marker
5/12/2017 10:23:40 AM;00:08:01.3000000;00:08:01.3181137;00:08:01.3181137;00:08:01.3181140;4813048091;202,202,202;da15
5/12/2017 10:23:53 AM;00:08:14.1840000;00:08:14.2031696;00:08:14.2031699;00:08:14.2031703;4942047962;255,255,255;undefined marker
5/12/2017 10:23:53 AM;00:08:14.2160000;00:08:14.2344276;00:08:14.2344276;00:08:14.2344279;4942381295;240,240,240;undefined marker
5/12/2017 10:23:59 AM;00:08:19.9650000;00:08:19.9841308;00:08:19.9841308;00:08:19.9841314;4999714571;201,201,201;infod15
5/12/2017 10:24:11 AM;00:08:32.2140000;00:08:32.2339546;00:08:32.2339546;00:08:32.2339553;5122381115;240,240,240;undefined marker
5/12/2017 10:24:12 AM;00:08:32.8310000;00:08:32.8505982;00:08:32.8505982;00:08:32.8505989;5128381109;200,200,200;da16
5/12/2017 10:24:25 AM;00:08:46.3490000;00:08:46.3689182;00:08:46.3689182;00:08:46.3689185;5263714307;255,255,255;undefined marker
5/12/2017 10:24:25 AM;00:08:46.3800000;00:08:46.4001628;00:08:46.4001628;00:08:46.4001634;5263714307;240,240,240;undefined marker
5/12/2017 10:24:43 AM;00:09:03.6960000;00:09:03.7162785;00:09:03.7162788;00:09:03.7162791;5437047467;199,199,199;infod16
5/12/2017 10:24:53 AM;00:09:13.5810000;00:09:13.6022365;00:09:13.6022368;00:09:13.6022371;5536047368;240,240,240;undefined marker
5/12/2017 10:24:53 AM;00:09:14.3950000;00:09:14.4160655;00:09:14.4160655;00:09:14.4160658;5544047360;198,198,198;da17
5/12/2017 10:25:08 AM;00:09:29.3440000;00:09:29.3657244;00:09:29.3657244;00:09:29.3657247;5693713877;240,240,240;undefined marker
5/12/2017 10:25:24 AM;00:09:45.1760000;00:09:45.1984199;00:09:45.1984203;00:09:45.1984206;5851713719;197,197,197;infod17
5/12/2017 10:25:35 AM;00:09:55.5260000;00:09:55.5481776;00:09:55.5481776;00:09:55.5481779;5955380282;240,240,240;undefined marker
5/12/2017 10:25:35 AM;00:09:56.2440000;00:09:56.2670043;00:09:56.2670046;00:09:56.2670049;5962713608;255,255,255;undefined marker
5/12/2017 10:25:35 AM;00:09:56.2920000;00:09:56.3148824;00:09:56.3148827;00:09:56.3148831;5963046941;196,196,196;da18
5/12/2017 10:25:47 AM;00:10:07.7580000;00:10:07.7812443;00:10:07.7812443;00:10:07.7812447;6077713493;240,240,240;undefined marker
5/12/2017 10:25:59 AM;00:10:20.0910000;00:10:20.1142749;00:10:20.1142753;00:10:20.1142756;6201046703;195,195,195;infod18
5/12/2017 10:26:11 AM;00:10:32.3730000;00:10:32.3972015;00:10:32.3972015;00:10:32.3972022;6323713247;240,240,240;undefined marker
5/12/2017 10:26:12 AM;00:10:33.1060000;00:10:33.1305351;00:10:33.1305351;00:10:33.1305354;6331379906;194,194,194;da19
5/12/2017 10:26:27 AM;00:10:48.0570000;00:10:48.0820890;00:10:48.0820890;00:10:48.0820893;6480713090;240,240,240;undefined marker
5/12/2017 10:26:38 AM;00:10:58.9550000;00:10:58.9798291;00:10:58.9798291;00:10:58.9798294;6589712981;193,193,193;infod19
5/12/2017 10:26:50 AM;00:11:11.2040000;00:11:11.2295352;00:11:11.2295352;00:11:11.2295355;6712046192;240,240,240;undefined marker
5/12/2017 10:27:09 AM;00:11:30.0720000;00:11:30.0978135;00:11:30.0978135;00:11:30.0978138;6901046003;255,255,255;undefined marker
5/12/2017 10:27:09 AM;00:11:30.1190000;00:11:30.1455924;00:11:30.1455924;00:11:30.1455931;6901379336;192,192,192;da20
5/12/2017 10:27:27 AM;00:11:47.4350000;00:11:47.4617975;00:11:47.4617975;00:11:47.4617981;7074712496;240,240,240;undefined marker
5/12/2017 10:27:31 AM;00:11:51.8850000;00:11:51.9117264;00:11:51.9117264;00:11:51.9117270;7119045785;191,191,191;infod20
5/12/2017 10:27:43 AM;00:12:04.1340000;00:12:04.1613170;00:12:04.1613170;00:12:04.1613176;7241712329;240,240,240;undefined marker
5/12/2017 10:27:44 AM;00:12:04.8000000;00:12:04.8279311;00:12:04.8279315;00:12:04.8279318;7248045656;190,190,190;da21
5/12/2017 10:27:55 AM;00:12:16.0680000;00:12:16.0961559;00:12:16.0961562;00:12:16.0961566;7361045543;255,255,255;undefined marker
5/12/2017 10:27:55 AM;00:12:16.0990000;00:12:16.1274315;00:12:16.1274315;00:12:16.1274318;7361378876;240,240,240;undefined marker
5/12/2017 10:28:00 AM;00:12:21.3690000;00:12:21.3967295;00:12:21.3967299;00:12:21.3967302;7414045490;255,255,255;undefined marker
5/12/2017 10:28:00 AM;00:12:21.3990000;00:12:21.4275059;00:12:21.4275059;00:12:21.4275066;7414378823;189,189,189;infod21
5/12/2017 10:28:13 AM;00:12:33.6320000;00:12:33.6603317;00:12:33.6603317;00:12:33.6603323;7536378701;240,240,240;undefined marker
5/12/2017 10:28:13 AM;00:12:34.3490000;00:12:34.3773766;00:12:34.3773766;00:12:34.3773773;7543712027;188,188,188;da22
5/12/2017 10:28:26 AM;00:12:47.3310000;00:12:47.3601107;00:12:47.3601107;00:12:47.3601113;7673711897;255,255,255;undefined marker
